Vgs,Vds,Ids
0.5,0.0,0.0
0.5,0.010101010101010102,1.618557681646161e-05
0.5,0.020202020202020204,3.237115363292322e-05
0.5,0.030303030303030304,4.855673044938484e-05
0.5,0.04040404040404041,6.474230726584644e-05
0.5,0.05050505050505051,8.092788408230807e-05
0.5,0.06060606060606061,9.711346089876967e-05
0.5,0.07070707070707072,0.0001132990377152313
0.5,0.08080808080808081,0.0001294846145316929
0.5,0.09090909090909091,0.0001456701913481545
0.5,0.10101010101010102,0.00016185576816461615
0.5,0.11111111111111112,0.00017804134498107773
0.5,0.12121212121212122,0.00019422692179753935
0.5,0.13131313131313133,0.00021041249861400096
0.5,0.14141414141414144,0.0002265980754304626
0.5,0.15151515151515152,0.00024278365224692416
0.5,0.16161616161616163,0.0002589692290633858
0.5,0.17171717171717174,0.00027515480587984745
0.5,0.18181818181818182,0.000291340382696309
0.5,0.19191919191919193,0.0003075259595127706
0.5,0.20202020202020204,0.0003237115363292323
0.5,0.21212121212121213,0.00033989711314569385
0.5,0.22222222222222224,0.00035608268996215547
0.5,0.23232323232323235,0.0003722682667786171
0.5,0.24242424242424243,0.0003884538435950787
0.5,0.25252525252525254,0.0004046394204115403
0.5,0.26262626262626265,0.0004208249972280019
0.5,0.27272727272727276,0.00043701057404446354
0.5,0.2828282828282829,0.0004531961508609252
0.5,0.29292929292929293,0.0004693817276773867
0.5,0.30303030303030304,0.00048556730449384833
0.5,0.31313131313131315,0.0005017528813103099
0.5,0.32323232323232326,0.0005179384581267716
0.5,0.33333333333333337,0.0005341240349432333
0.5,0.3434343434343435,0.0005503096117596949
0.5,0.3535353535353536,0.0005664951885761565
0.5,0.36363636363636365,0.000582680765392618
0.5,0.37373737373737376,0.0005988663422090796
0.5,0.38383838383838387,0.0006150519190255412
0.5,0.393939393939394,0.0006312374958420029
0.5,0.4040404040404041,0.0006474230726584646
0.5,0.4141414141414142,0.0006636086494749262
0.5,0.42424242424242425,0.0006797942262913877
0.5,0.43434343434343436,0.0006959798031078493
0.5,0.4444444444444445,0.0007121653799243109
0.5,0.4545454545454546,0.0007283509567407725
0.5,0.4646464646464647,0.0007445365335572342
0.5,0.4747474747474748,0.0007607221103736958
0.5,0.48484848484848486,0.0007769076871901574
0.5,0.494949494949495,0.000793093264006619
0.5,0.5050505050505051,0.0008092788408230806
0.5,0.5151515151515152,0.0008254644176395423
0.5,0.5252525252525253,0.0008416499944560039
0.5,0.5353535353535354,0.0008578355712724654
0.5,0.5454545454545455,0.0008740211480889271
0.5,0.5555555555555556,0.0008902067249053887
0.5,0.5656565656565657,0.0009063923017218504
0.5,0.5757575757575758,0.0009225778785383119
0.5,0.5858585858585859,0.0009387634553547734
0.5,0.595959595959596,0.0009549490321712352
0.5,0.6060606060606061,0.0009711346089876967
0.5,0.6161616161616162,0.0009873201858041584
0.5,0.6262626262626263,0.0010035057626206199
0.5,0.6363636363636365,0.0010196913394370816
0.5,0.6464646464646465,0.0010358769162535431
0.5,0.6565656565656566,0.0010520624930700048
0.5,0.6666666666666667,0.0010682480698864666
0.5,0.6767676767676768,0.001084433646702928
0.5,0.686868686868687,0.0011006192235193898
0.5,0.696969696969697,0.0011168048003358513
0.5,0.7070707070707072,0.001132990377152313
0.5,0.7171717171717172,0.0011491759539687745
0.5,0.7272727272727273,0.001165361530785236
0.5,0.7373737373737375,0.0011815471076016978
0.5,0.7474747474747475,0.0011977326844181593
0.5,0.7575757575757577,0.001213918261234621
0.5,0.7676767676767677,0.0012301038380510825
0.5,0.7777777777777778,0.001246289414867544
0.5,0.787878787878788,0.0012624749916840057
0.5,0.797979797979798,0.0012786605685004674
0.5,0.8080808080808082,0.0012948461453169292
0.5,0.8181818181818182,0.0013110317221333907
0.5,0.8282828282828284,0.0013272172989498524
0.5,0.8383838383838385,0.001343402875766314
0.5,0.8484848484848485,0.0013595884525827754
0.5,0.8585858585858587,0.0013757740293992371
0.5,0.8686868686868687,0.0013919596062156986
0.5,0.8787878787878789,0.0014081451830321604
0.5,0.888888888888889,0.0014243307598486219
0.5,0.8989898989898991,0.0014405163366650836
0.5,0.9090909090909092,0.001456701913481545
0.5,0.9191919191919192,0.0014728874902980066
0.5,0.9292929292929294,0.0014890730671144683
0.5,0.9393939393939394,0.0015052586439309298
0.5,0.9494949494949496,0.0015214442207473916
0.5,0.9595959595959597,0.0015376297975638533
0.5,0.9696969696969697,0.0015538153743803148
0.5,0.9797979797979799,0.0015700009511967765
0.5,0.98989898989899,0.001586186528013238
0.5,1.0,0.0016023721048296995
0.4954545454545455,0.0,0.0
0.4954545454545455,0.010101010101010102,1.6185463794035866e-05
0.4954545454545455,0.020202020202020204,3.237092758807173e-05
0.4954545454545455,0.030303030303030304,4.85563913821076e-05
0.4954545454545455,0.04040404040404041,6.474185517614346e-05
0.4954545454545455,0.05050505050505051,8.092731897017934e-05
0.4954545454545455,0.06060606060606061,9.71127827642152e-05
0.4954545454545455,0.07070707070707072,0.00011329824655825107
0.4954545454545455,0.08080808080808081,0.00012948371035228693
0.4954545454545455,0.09090909090909091,0.0001456691741463228
0.4954545454545455,0.10101010101010102,0.00016185463794035867
0.4954545454545455,0.11111111111111112,0.00017804010173439453
0.4954545454545455,0.12121212121212122,0.0001942255655284304
0.4954545454545455,0.13131313131313133,0.00021041102932246625
0.4954545454545455,0.14141414141414144,0.00022659649311650214
0.4954545454545455,0.15151515151515152,0.00024278195691053797
0.4954545454545455,0.16161616161616163,0.00025896742070457386
0.4954545454545455,0.17171717171717174,0.00027515288449860974
