Vgs,Vds,Ids
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
-1.0,0.1,0.000160794334395891
